line_no,line,sentiment,label,score
6844,"Answer, you worthless villain,",0,NEGATIVE,0.9991832
6845,answer!,1,POSITIVE,0.99580467
6846,”,0,NEGATIVE,0.977441
6847,But this was too much for the general.,0,NEGATIVE,0.9986168
6848,"“Here are twenty-five roubles, Marfa Borisovna... it is all that I can",0,NEGATIVE,0.99214077
6849,give... and I owe even these to the prince’s generosity—my noble,1,POSITIVE,0.9977406
6850,friend.,1,POSITIVE,0.99813235
6851,I have been cruelly deceived.,0,NEGATIVE,0.99886733
6852,Such is..,0,NEGATIVE,0.94735485
6853,.,0,NEGATIVE,0.9666242
6854,life...,1,POSITIVE,0.9942377
6855,Now...,1,POSITIVE,0.9859001
6856,Excuse,0,NEGATIVE,0.9936936
6857,"me, I am very weak,” he continued, standing in the centre of the room,",0,NEGATIVE,0.99797547
6858,and bowing to all sides.,1,POSITIVE,0.9944356
6859,“I am faint; excuse me!,0,NEGATIVE,0.99541456
6860,Lenotchka... a,1,POSITIVE,0.98014814
6861,cushion... my dear!,1,POSITIVE,0.99715525
6862,”,0,NEGATIVE,0.977441
6863,"Lenotchka, a little girl of eight, ran to fetch the cushion at once,",1,POSITIVE,0.9970331
6864,and placed it on the rickety old sofa.,0,NEGATIVE,0.99846035
6865,The general meant to have said,0,NEGATIVE,0.9905236
6866,"much more, but as soon as he had stretched himself out, he turned his",0,NEGATIVE,0.99875706
6867,"face to the wall, and slept the sleep of the just.",0,NEGATIVE,0.58048564
6868,"With a grave and ceremonious air, Marfa Borisovna motioned the prince",1,POSITIVE,0.98971975
6869,to a chair at one of the card-tables.,1,POSITIVE,0.99698
6870,"She seated herself opposite,",1,POSITIVE,0.9914746
6871,"leaned her right cheek on her hand, and sat in silence, her eyes fixed",1,POSITIVE,0.9957537
6872,"on Muishkin, now and again sighing deeply.",0,NEGATIVE,0.99589884
6873,"The three children, two",1,POSITIVE,0.9842571
6874,"little girls and a boy, Lenotchka being the eldest, came and leant on",1,POSITIVE,0.9968578
6875,the table and also stared steadily at him.,1,POSITIVE,0.9984152
6876,Presently Colia appeared,1,POSITIVE,0.98948187
6877,from the adjoining room.,1,POSITIVE,0.9962252
6878,"“I am very glad indeed to have met you here, Colia,” said the prince.",1,POSITIVE,0.9987651
6879,“Can you do something for me?,0,NEGATIVE,0.995941
6880,"I must see Nastasia Philipovna, and I",1,POSITIVE,0.9978001
6881,"asked Ardalion Alexandrovitch just now to take me to her house, but he",0,NEGATIVE,0.9983169
6882,"has gone to sleep, as you see.",0,NEGATIVE,0.9966219
6883,"Will you show me the way, for I do not",0,NEGATIVE,0.9993291
6884,know the street?,0,NEGATIVE,0.9633232
6885,"I have the address, though; it is close to the Grand",1,POSITIVE,0.99663126
6886,Theatre.,1,POSITIVE,0.9858609
6887,”,0,NEGATIVE,0.977441
6888,“Nastasia Philipovna?,1,POSITIVE,0.9680726
6889,"She does not live there, and to tell you the",0,NEGATIVE,0.999204
6890,truth my father has never been to her house!,0,NEGATIVE,0.99944454
6891,It is strange that you,0,NEGATIVE,0.99749357
6892,should have depended on him!,0,NEGATIVE,0.99746686
6893,"She lives near Wladimir Street, at the",1,POSITIVE,0.9952464
6894,"Five Corners, and it is quite close by.",1,POSITIVE,0.9980709
6895,Will you go directly?,1,POSITIVE,0.99275076
6896,It is,1,POSITIVE,0.9937145
6897,just half-past nine.,1,POSITIVE,0.5490436
6898,I will show you the way with pleasure.,1,POSITIVE,0.9983009
6899,”,0,NEGATIVE,0.977441
6900,Colia and the prince went off together.,1,POSITIVE,0.9978421
6901,Alas! the latter had no money,0,NEGATIVE,0.9976789
6902,"to pay for a cab, so they were obliged to walk.",0,NEGATIVE,0.9994156
6903,"“I should have liked to have taken you to see Hippolyte,” said Colia.",0,NEGATIVE,0.9968316
6904,"“He is the eldest son of the lady you met just now, and was in the next",1,POSITIVE,0.99487114
6905,room.,1,POSITIVE,0.9890148
6906,"He is ill, and has been in bed all day.",0,NEGATIVE,0.9993436
6907,"But he is rather strange,",0,NEGATIVE,0.9483591
6908,"and extremely sensitive, and I thought he might be upset considering",1,POSITIVE,0.99723464
6909,the circumstances in which you came...,1,POSITIVE,0.99359506
6910,"Somehow it touches me less, as",0,NEGATIVE,0.9986799
6911,"it concerns my father, while it is _his_ mother.",1,POSITIVE,0.9500453
6912,"That, of course, makes",0,NEGATIVE,0.99146324
6913,a great difference.,1,POSITIVE,0.99623114
6914,"What is a terrible disgrace to a woman, does not",0,NEGATIVE,0.9980716
6915,"disgrace a man, at least not in the same way.",0,NEGATIVE,0.998919
6916,Perhaps public opinion is,1,POSITIVE,0.9571465
6917,"wrong in condemning one sex, and excusing the other.",0,NEGATIVE,0.9978646
6918,Hippolyte is an,1,POSITIVE,0.9871308
6919,"extremely clever boy, but so prejudiced.",0,NEGATIVE,0.98932683
6920,He is really a slave to his,0,NEGATIVE,0.99820524
6921,opinions.,1,POSITIVE,0.978135
6922,”,0,NEGATIVE,0.977441
6923,“Do you say he is consumptive?”,0,NEGATIVE,0.99735564
6924,“Yes.,1,POSITIVE,0.9974242
6925,It really would be happier for him to die young.,0,NEGATIVE,0.99580884
6926,If I were in his,1,POSITIVE,0.9915346
6927,place I should certainly long for death.,0,NEGATIVE,0.9763982
6928,He is unhappy about his,0,NEGATIVE,0.9991372
6929,"brother and sisters, the children you saw.",1,POSITIVE,0.98897153
6930,"If it were possible, if we",0,NEGATIVE,0.9296394
6931,"only had a little money, we should leave our respective families, and",0,NEGATIVE,0.997341
6932,live together in a little apartment of our own.,1,POSITIVE,0.99881315
6933,It is our dream.,1,POSITIVE,0.9986956
6934,"But,",1,POSITIVE,0.9475599
6935,"do you know, when I was talking over your affair with him, he was",0,NEGATIVE,0.98382735
6936,"angry, and said that anyone who did not call out a man who had given",0,NEGATIVE,0.99905604
6937,him a blow was a coward.,0,NEGATIVE,0.99906814
6938,"He is very irritable to-day, and I left off",0,NEGATIVE,0.99941117
6939,arguing the matter with him.,0,NEGATIVE,0.9888977
6940,So Nastasia Philipovna has invited you to,1,POSITIVE,0.99812716
6941,go and see her?,1,POSITIVE,0.9985063
6942,”,0,NEGATIVE,0.977441
6943,"“To tell the truth, she has not.”",0,NEGATIVE,0.99855065
6944,"“Then how do you come to be going there?” cried Colia, so much",0,NEGATIVE,0.9977793
6945,astonished that he stopped short in the middle of the pavement.,0,NEGATIVE,0.9954123
6946,“And...,1,POSITIVE,0.98690534
6947,and are you going to her ‘At Home’ in that costume?,0,NEGATIVE,0.99939984
6948,”,0,NEGATIVE,0.977441
6949,"“I don’t know, really, whether I shall be allowed in at all.",0,NEGATIVE,0.99942493
6950,If she,0,NEGATIVE,0.86253595
6951,"will receive me, so much the better.",1,POSITIVE,0.99631035
6952,"If not, the matter is ended.",0,NEGATIVE,0.9894146
6953,As to,1,POSITIVE,0.9575282
6954,my clothes—what can I do?,0,NEGATIVE,0.9966364
6955,”,0,NEGATIVE,0.977441
6956,"“Are you going there for some particular reason, or only as a way of",0,NEGATIVE,0.9952639
6957,"getting into her society, and that of her friends?",1,POSITIVE,0.99698055
6958,”,0,NEGATIVE,0.977441
6959,"“No, I have really an object in going...",0,NEGATIVE,0.9989943
6960,"That is, I am going on",1,POSITIVE,0.9962131
6961,"business it is difficult to explain, but...”",0,NEGATIVE,0.9908652
6962,"“Well, whether you go on business or not is your affair, I do not want",0,NEGATIVE,0.99945724
6963,to know.,1,POSITIVE,0.99748504
6964,"The only important thing, in my eyes, is that you should not",0,NEGATIVE,0.99891627
6965,be going there simply for the pleasure of spending your evening in such,1,POSITIVE,0.99878335
6966,"company—cocottes, generals, usurers!",0,NEGATIVE,0.9612984
6967,If that were the case I should,0,NEGATIVE,0.9911129
6968,despise and laugh at you.,0,NEGATIVE,0.99881434
6969,"There are terribly few honest people here,",0,NEGATIVE,0.99943113
6970,"and hardly any whom one can respect, although people put on airs—Varia",0,NEGATIVE,0.9983908
6971,especially!,1,POSITIVE,0.99635106
6972,"Have you noticed, prince, how many adventurers there are",1,POSITIVE,0.8834354
6973,nowadays?,0,NEGATIVE,0.97053343
6974,"Especially here, in our dear Russia.",1,POSITIVE,0.99811065
6975,How it has happened I,1,POSITIVE,0.9963698
6976,never can understand.,0,NEGATIVE,0.9994623
6977,There used to be a certain amount of solidity in,0,NEGATIVE,0.9897776
6978,"all things, but now what happens?",0,NEGATIVE,0.9968192
6979,Everything is exposed to the public,0,NEGATIVE,0.9962168
6980,"gaze, veils are thrown back, every wound is probed by careless fingers.",0,NEGATIVE,0.99875253
6981,We are for ever present at an orgy of scandalous revelations.,1,POSITIVE,0.99428165
6982,Parents,1,POSITIVE,0.7169224
6983,blush when they remember their old-fashioned morality.,0,NEGATIVE,0.9861982
6984,At Moscow lately,1,POSITIVE,0.9932797
6985,"a father was heard urging his son to stop at nothing—at nothing, mind",0,NEGATIVE,0.998277
6986,you!,1,POSITIVE,0.9935431
6987,—to get money!,0,NEGATIVE,0.9889085
6988,"The press seized upon the story, of course, and now",1,POSITIVE,0.9929567
6989,it is public property.,1,POSITIVE,0.9887924
6990,"Look at my father, the general!",1,POSITIVE,0.99316233
6991,"See what he is,",0,NEGATIVE,0.98641837
6992,"and yet, I assure you, he is an honest man!",1,POSITIVE,0.99861795
6993,"Only... he drinks too much,",0,NEGATIVE,0.9883628
6994,and his morals are not all we could desire.,0,NEGATIVE,0.9994295
6995,"Yes, that’s true!",1,POSITIVE,0.99679184
6996,I pity,0,NEGATIVE,0.99397737
6997,"him, to tell the truth, but I dare not say so, because everybody would",0,NEGATIVE,0.996504
6998,laugh at me—but I do pity him!,0,NEGATIVE,0.9879165
6999,"And who are the really clever men, after",0,NEGATIVE,0.9877288
7000,all?,1,POSITIVE,0.9945745
7001,"Money-grubbers, every one of them, from the first to the last.",0,NEGATIVE,0.9980568
7002,"Hippolyte finds excuses for money-lending, and says it is a necessity.",0,NEGATIVE,0.99456584
7003,"He talks about the economic movement, and the ebb and flow of capital;",1,POSITIVE,0.99871695
7004,the devil knows what he means.,1,POSITIVE,0.99000484
7005,"It makes me angry to hear him talk so,",0,NEGATIVE,0.9994538
7006,but he is soured by his troubles.,0,NEGATIVE,0.99837947
7007,Just imagine—the general keeps his,1,POSITIVE,0.9954532
7008,mother—but she lends him money!,1,POSITIVE,0.97591937
7009,She lends it for a week or ten days at,1,POSITIVE,0.99539995
7010,very high interest!,1,POSITIVE,0.99808097
7011,Isn’t it disgusting?,0,NEGATIVE,0.99934316
7012,"And then, you would hardly",0,NEGATIVE,0.99782157
7013,"believe it, but my mother—Nina Alexandrovna—helps Hippolyte in all",1,POSITIVE,0.99793637
7014,"sorts of ways, sends him money and clothes.",1,POSITIVE,0.99768776
7015,She even goes as far as,1,POSITIVE,0.9928725
7016,"helping the children, through Hippolyte, because their mother cares",1,POSITIVE,0.9984122
7017,"nothing about them, and Varia does the same.",0,NEGATIVE,0.99949634
7018,”,0,NEGATIVE,0.977441
7019,"“Well, just now you said there were no honest nor good people about,",0,NEGATIVE,0.9990908
7020,that there were only money-grubbers—and here they are quite close at,1,POSITIVE,0.99166447
7021,"hand, these honest and good people, your mother and Varia!",1,POSITIVE,0.99858356
7022,I think,1,POSITIVE,0.8813109
7023,there is a good deal of moral strength in helping people in such,1,POSITIVE,0.9973909
7024,circumstances.,0,NEGATIVE,0.97316974
7025,”,0,NEGATIVE,0.977441
7026,"“Varia does it from pride, and likes showing off, and giving herself",1,POSITIVE,0.9988193
7027,airs.,0,NEGATIVE,0.84725344
7028,"As to my mother, I really do admire her—yes, and honour her.",1,POSITIVE,0.99860156
7029,"Hippolyte, hardened as he is, feels it.",1,POSITIVE,0.9955356
7030,"He laughed at first, and",1,POSITIVE,0.9921507
7031,"thought it vulgar of her—but now, he is sometimes quite touched and",1,POSITIVE,0.9961821
7032,overcome by her kindness.,1,POSITIVE,0.99885243
7033,H’m!,1,POSITIVE,0.995245
7034,You call that being strong and good?,0,NEGATIVE,0.7461567
7035,I,1,POSITIVE,0.9575427
7036,will remember that!,1,POSITIVE,0.9954503
7037,Gania knows nothing about it.,0,NEGATIVE,0.99943584
7038,He would say that it,0,NEGATIVE,0.987833
7039,was encouraging vice.,1,POSITIVE,0.9856411
7040,”,0,NEGATIVE,0.977441
7041,"“Ah, Gania knows nothing about it?",0,NEGATIVE,0.99947923
7042,It seems there are many things that,1,POSITIVE,0.98844707
7043,"Gania does not know,” exclaimed the prince, as he considered Colia’s",0,NEGATIVE,0.99747545
7044,last words.,0,NEGATIVE,0.81198597
7045,"“Do you know, I like you very much indeed, prince?",1,POSITIVE,0.99852717
7046,I shall never forget,1,POSITIVE,0.9974582
7047,about this afternoon.,1,POSITIVE,0.984192
7048,”,0,NEGATIVE,0.977441
7049,"“I like you too, Colia.”",1,POSITIVE,0.9986821
7050,"“Listen to me! You are going to live here, are you not?” said Colia.",0,NEGATIVE,0.9829206
7051,“I,1,POSITIVE,0.9815758
7052,"mean to get something to do directly, and earn money.",0,NEGATIVE,0.9498124
7053,Then shall we,1,POSITIVE,0.9867004
7054,three live together?,1,POSITIVE,0.9949432
7055,"You, and I, and Hippolyte?",0,NEGATIVE,0.98516995
7056,"We will hire a flat,",1,POSITIVE,0.97328764
7057,and let the general come and visit us.,1,POSITIVE,0.9945443
7058,What do you say?,1,POSITIVE,0.9868676
7059,”,0,NEGATIVE,0.977441
7060,"“It would be very pleasant,” returned the prince.",1,POSITIVE,0.99559563
7061,“But we must see.,1,POSITIVE,0.98797995
7062,I,1,POSITIVE,0.9575427
7063,am really rather worried just now.,0,NEGATIVE,0.9983559
7064,What! are we there already?,0,NEGATIVE,0.9987241
7065,Is that,0,NEGATIVE,0.9794405
7066,the house?,0,NEGATIVE,0.98521245
7067,What a long flight of steps!,0,NEGATIVE,0.9979183
7068,And there’s a porter!,0,NEGATIVE,0.9949959
7069,"Well,",0,NEGATIVE,0.989673
7070,Colia I don’t know what will come of it all.,0,NEGATIVE,0.9975841
7071,”,0,NEGATIVE,0.977441
7072,The prince seemed quite distracted for the moment.,0,NEGATIVE,0.9992404
7073,“You must tell me all about it tomorrow!,1,POSITIVE,0.9849923
7074,Don’t be afraid.,1,POSITIVE,0.9981181
7075,I wish you,1,POSITIVE,0.99839455
7076,"success; we agree so entirely that I can do so, although I do not",1,POSITIVE,0.9982068
7077,understand why you are here.,1,POSITIVE,0.99761254
7078,Good-bye!,0,NEGATIVE,0.99143994
7079,” cried Colia excitedly.,1,POSITIVE,0.99829495
7080,“Now I,1,POSITIVE,0.9943032
7081,will rush back and tell Hippolyte all about our plans and proposals!,1,POSITIVE,0.9979988
7082,But as to your getting in—don’t be in the least afraid.,1,POSITIVE,0.9979106
7083,You will see,1,POSITIVE,0.9839293
7084,her.,0,NEGATIVE,0.96569645
7085,She is so original about everything.,1,POSITIVE,0.9987488
7086,It’s the first floor.,1,POSITIVE,0.9957499
7087,The,1,POSITIVE,0.98924834
7088,porter will show you.,1,POSITIVE,0.9874391
7089,”,0,NEGATIVE,0.977441
7090,XIII.,1,POSITIVE,0.5673783
7091,The prince was very nervous as he reached the outer door; but he did,0,NEGATIVE,0.99167794
7092,his best to encourage himself with the reflection that the worst thing,1,POSITIVE,0.9966431
7093,"that could happen to him would be that he would not be received, or,",0,NEGATIVE,0.9980856
7094,"perhaps, received, then laughed at for coming.",0,NEGATIVE,0.99934936
7095,"But there was another question, which terrified him considerably, and",0,NEGATIVE,0.9921953
7096,that was: what was he going to do when he _did_ get in?,0,NEGATIVE,0.99943745
7097,And to this,1,POSITIVE,0.9927479
7098,question he could fashion no satisfactory reply.,0,NEGATIVE,0.99948967
7099,If only he could find an opportunity of coming close up to Nastasia,1,POSITIVE,0.9880188
7100,Philipovna and saying to her: “Don’t ruin yourself by marrying this,0,NEGATIVE,0.99907756
7101,man.,1,POSITIVE,0.9936668
7102,"He does not love you, he only loves your money.",0,NEGATIVE,0.9994383
7103,He told me so,1,POSITIVE,0.99269533
7104,"himself, and so did Aglaya Ivanovna, and I have come on purpose to warn",1,POSITIVE,0.9907671
7105,you”—but even that did not seem quite a legitimate or practicable thing,0,NEGATIVE,0.9993163
7106,to do.,1,POSITIVE,0.99660623
7107,"Then, again, there was another delicate question, to which he",0,NEGATIVE,0.9967598
7108,"could not find an answer; dared not, in fact, think of it; but at the",0,NEGATIVE,0.9982872
7109,very idea of which he trembled and blushed.,1,POSITIVE,0.9867049
7110,"However, in spite of all",1,POSITIVE,0.99335325
7111,"his fears and heart-quakings he went in, and asked for Nastasia",1,POSITIVE,0.9971435
7112,Philipovna.,1,POSITIVE,0.9720139
7113,"Nastasia occupied a medium-sized, but distinctly tasteful, flat,",1,POSITIVE,0.9987572
7114,beautifully furnished and arranged.,1,POSITIVE,0.9987959
7115,At one period of these five years,0,NEGATIVE,0.99525726
7116,"of Petersburg life, Totski had certainly not spared his expenditure",0,NEGATIVE,0.9990808
7117,upon her.,1,POSITIVE,0.99221957
7118,"He had calculated upon her eventual love, and tried to tempt",0,NEGATIVE,0.9187203
7119,"her with a lavish outlay upon comforts and luxuries, knowing too well",0,NEGATIVE,0.9944608
7120,"how easily the heart accustoms itself to comforts, and how difficult it",1,POSITIVE,0.9958646
7121,is to tear one’s self away from luxuries which have become habitual,1,POSITIVE,0.99820447
7122,"and, little by little, indispensable.",1,POSITIVE,0.9987433
7123,"Nastasia did not reject all this, she even loved her comforts and",1,POSITIVE,0.9977174
7124,"luxuries, but, strangely enough, never became, in the least degree,",0,NEGATIVE,0.6708926
7125,"dependent upon them, and always gave the impression that she could do",1,POSITIVE,0.998483
7126,just as well without them.,0,NEGATIVE,0.9966471
7127,"In fact, she went so far as to inform Totski",1,POSITIVE,0.9947414
7128,"on several occasions that such was the case, which the latter gentleman",1,POSITIVE,0.9927678
7129,considered a very unpleasant communication indeed.,0,NEGATIVE,0.9994754
7130,"But, of late, Totski had observed many strange and original features",1,POSITIVE,0.9980528
7131,"and characteristics in Nastasia, which he had neither known nor",0,NEGATIVE,0.99359286
7132,"reckoned upon in former times, and some of these fascinated him, even",1,POSITIVE,0.9975692
7133,"now, in spite of the fact that all his old calculations with regard to",0,NEGATIVE,0.9987041
7134,her were long ago cast to the winds.,0,NEGATIVE,0.99735606
7135,A maid opened the door for the prince,1,POSITIVE,0.9869039
7136,(Nastasia’s servants were all,0,NEGATIVE,0.9858047
7137,females),0,NEGATIVE,0.86128336
7138,"and, to his surprise, received his request to announce him to",1,POSITIVE,0.99835193
7139,her mistress without any astonishment.,1,POSITIVE,0.99548995
7140,"Neither his dirty boots, nor his",0,NEGATIVE,0.9994388
7141,"wide-brimmed hat, nor his sleeveless cloak, nor his evident confusion",0,NEGATIVE,0.99853903
7142,"of manner, produced the least impression upon her.",0,NEGATIVE,0.9990667
7143,She helped him off,1,POSITIVE,0.99657905
7144,"with his cloak, and begged him to wait a moment in the ante-room while",0,NEGATIVE,0.9973446
7145,she announced him.,1,POSITIVE,0.99648875
7146,The company assembled at Nastasia Philipovna’s consisted of none but,0,NEGATIVE,0.9983456
7147,"her most intimate friends, and formed a very small party in comparison",0,NEGATIVE,0.9973876
7148,with her usual gatherings on this anniversary.,1,POSITIVE,0.9988136
7149,"In the first place there were present Totski, and General Epanchin.",1,POSITIVE,0.98535067
7150,"They were both highly amiable, but both appeared to be labouring under",0,NEGATIVE,0.98318255
7151,a half-hidden feeling of anxiety as to the result of Nastasia’s,0,NEGATIVE,0.98846745
7152,"deliberations with regard to Gania, which result was to be made public",1,POSITIVE,0.99042445
7153,this evening.,1,POSITIVE,0.98549
7154,"Then, of course, there was Gania who was by no means so amiable as his",0,NEGATIVE,0.9979702
7155,"elders, but stood apart, gloomy, and miserable, and silent.",0,NEGATIVE,0.99837244
7156,He had,1,POSITIVE,0.97702634
7157,determined not to bring Varia with him; but Nastasia had not even asked,0,NEGATIVE,0.9988485
7158,"after her, though no sooner had he arrived than she had reminded him of",0,NEGATIVE,0.993326
7159,the episode between himself and the prince.,1,POSITIVE,0.99340135
7160,"The general, who had heard",1,POSITIVE,0.98109543
7161,"nothing of it before, began to listen with some interest, while Gania,",1,POSITIVE,0.9918228
7162,"drily, but with perfect candour, went through the whole history,",1,POSITIVE,0.9988297
7163,including the fact of his apology to the prince.,1,POSITIVE,0.9955327
7164,He finished by,1,POSITIVE,0.9983742
7165,"declaring that the prince was a most extraordinary man, and goodness",1,POSITIVE,0.99807423
7166,"knows why he had been considered an idiot hitherto, for he was very far",1,POSITIVE,0.99102074
7167,from being one.,1,POSITIVE,0.9893412
7168,Nastasia listened to all this with great interest; but the conversation,0,NEGATIVE,0.99532974
7169,"soon turned to Rogojin and his visit, and this theme proved of the",1,POSITIVE,0.99671453
7170,greatest attraction to both Totski and the general.,1,POSITIVE,0.99862576
7171,Ptitsin was able to afford some particulars as to Rogojin’s conduct,0,NEGATIVE,0.9770322
7172,since the afternoon.,1,POSITIVE,0.9839285
7173,He declared that he had been busy finding money,0,NEGATIVE,0.9988182
7174,"for the latter ever since, and up to nine o’clock, Rogojin having",1,POSITIVE,0.9981801
7175,declared that he must absolutely have a hundred thousand roubles by the,0,NEGATIVE,0.9968153
7176,evening.,1,POSITIVE,0.99027884
7177,"He added that Rogojin was drunk, of course; but that he",1,POSITIVE,0.97762305
7178,"thought the money would be forthcoming, for the excited and intoxicated",1,POSITIVE,0.9895265
7179,rapture of the fellow impelled him to give any interest or premium that,1,POSITIVE,0.9971567
7180,"was asked of him, and there were several others engaged in beating up",0,NEGATIVE,0.99863714
7181,"the money, also.",1,POSITIVE,0.99353594
7182,All this news was received by the company with somewhat gloomy,0,NEGATIVE,0.99264205
7183,interest.,1,POSITIVE,0.9915796
7184,"Nastasia was silent, and would not say what she thought about",0,NEGATIVE,0.9994734
7185,it.,1,POSITIVE,0.99660355
7186,Gania was equally uncommunicative.,0,NEGATIVE,0.9994952
7187,The general seemed the most,1,POSITIVE,0.9972837
7188,"anxious of all, and decidedly uneasy.",0,NEGATIVE,0.99899757
7189,The present of pearls which he,1,POSITIVE,0.99358374
7190,had prepared with so much joy in the morning had been accepted but,0,NEGATIVE,0.9904338
7191,"coldly, and Nastasia had smiled rather disagreeably as she took it from",0,NEGATIVE,0.99928707
7192,him.,1,POSITIVE,0.9869693
7193,Ferdishenko was the only person present in good spirits.,1,POSITIVE,0.99755406
7194,"Totski himself, who had the reputation of being a capital talker, and",1,POSITIVE,0.994915
7195,"was usually the life and soul of these entertainments, was as silent as",0,NEGATIVE,0.9977773
7196,"any on this occasion, and sat in a state of, for him, most uncommon",1,POSITIVE,0.99427205
7197,perturbation.,1,POSITIVE,0.986866
7198,The rest of the guests,1,POSITIVE,0.9856038
7199,"(an old tutor or schoolmaster, goodness knows",0,NEGATIVE,0.9920546
7200,"why invited; a young man, very timid, and shy and silent; a rather loud",1,POSITIVE,0.9934987
7201,"woman of about forty, apparently an actress; and a very pretty,",1,POSITIVE,0.9978632
7202,well-dressed German lady who hardly said a word all the evening),0,NEGATIVE,0.9994741
7203,not,0,NEGATIVE,0.9980921
7204,"only had no gift for enlivening the proceedings, but hardly knew what",0,NEGATIVE,0.99949235
7205,to say for themselves when addressed.,1,POSITIVE,0.99612874
7206,Under these circumstances the,0,NEGATIVE,0.9770972
7207,arrival of the prince came almost as a godsend.,1,POSITIVE,0.9970984
7208,The announcement of his name gave rise to some surprise and to some,1,POSITIVE,0.9948787
7209,"smiles, especially when it became evident, from Nastasia’s astonished",1,POSITIVE,0.9973879
7210,"look, that she had not thought of inviting him.",0,NEGATIVE,0.99939543
7211,But her astonishment,1,POSITIVE,0.9968062
7212,"once over, Nastasia showed such satisfaction that all prepared to greet",1,POSITIVE,0.99871105
7213,the prince with cordial smiles of welcome.,1,POSITIVE,0.9983543
7214,"“Of course,” remarked General Epanchin, “he does this out of pure",0,NEGATIVE,0.99556017
7215,innocence.,0,NEGATIVE,0.8844426
7216,"It’s a little dangerous, perhaps, to encourage this sort of",1,POSITIVE,0.99338734
7217,freedom; but it is rather a good thing that he has arrived just at this,0,NEGATIVE,0.99114
7218,moment.,1,POSITIVE,0.9968598
7219,He may enliven us a little with his originalities.,0,NEGATIVE,0.9882935
7220,”,0,NEGATIVE,0.977441
7221,"“Especially as he asked himself,” said Ferdishenko.",1,POSITIVE,0.99513716
7222,"“What’s that got to do with it?” asked the general, who loathed",0,NEGATIVE,0.99842393
7223,Ferdishenko.,1,POSITIVE,0.7212919
7224,"“Why, he must pay toll for his entrance,” explained the latter.",0,NEGATIVE,0.9987607
7225,"“H’m! Prince Muishkin is not Ferdishenko,” said the general,",0,NEGATIVE,0.99292916
7226,impatiently.,0,NEGATIVE,0.9984823
7227,This worthy gentleman could never quite reconcile himself,0,NEGATIVE,0.99851954
7228,"to the idea of meeting Ferdishenko in society, and on an equal footing.",1,POSITIVE,0.996618
7229,"“Oh general, spare Ferdishenko!” replied the other, smiling.",1,POSITIVE,0.99721843
7230,“I have,1,POSITIVE,0.99133164
7231,special privileges.,1,POSITIVE,0.99782634
7232,”,0,NEGATIVE,0.977441
7233,“What do you mean by special privileges?”,0,NEGATIVE,0.99885875
7234,“Once before I had the honour of stating them to the company.,1,POSITIVE,0.99468887
7235,I will,1,POSITIVE,0.9920426
7236,repeat the explanation to-day for your excellency’s benefit.,1,POSITIVE,0.99217045
7237,"You see,",1,POSITIVE,0.9609502
7238,"excellency, all the world is witty and clever except myself.",0,NEGATIVE,0.98852575
7239,I am,1,POSITIVE,0.9908444
7240,neither.,0,NEGATIVE,0.9991702
7241,"As a kind of compensation I am allowed to tell the truth, for",1,POSITIVE,0.9975207
7242,it is a well-known fact that only stupid people tell ‘the truth.’ Added,0,NEGATIVE,0.9990831
7243,"to this, I am a spiteful man, just because I am not clever.",0,NEGATIVE,0.99842304
7244,If I am,1,POSITIVE,0.99012625
7245,offended or injured I bear it quite patiently until the man injuring me,0,NEGATIVE,0.9921939
7246,meets with some misfortune.,0,NEGATIVE,0.99641925
7247,"Then I remember, and take my revenge.",1,POSITIVE,0.99538356
7248,I,1,POSITIVE,0.9575427
7249,"return the injury sevenfold, as Ivan Petrovitch Ptitsin says.",0,NEGATIVE,0.99336255
7250,(Of,0,NEGATIVE,0.9801742
7251,course he never does so himself.,0,NEGATIVE,0.9948356
7252,),1,POSITIVE,0.6946645
7253,"Excellency, no doubt you recollect",1,POSITIVE,0.9975912
7254,"Kryloff’s fable, ‘The Lion and the Ass’?",0,NEGATIVE,0.7325615
7255,"Well now, that’s you and I.",0,NEGATIVE,0.9890188
7256,That fable was written precisely for us.,1,POSITIVE,0.9985609
7257,”,0,NEGATIVE,0.977441
7258,"“You seem to be talking nonsense again, Ferdishenko,” growled the",0,NEGATIVE,0.9994719
7259,general.,0,NEGATIVE,0.8408264
7260,"“What is the matter, excellency?",0,NEGATIVE,0.9921617
7261,I know how to keep my place.,1,POSITIVE,0.9978389
7262,When I,1,POSITIVE,0.9883326
7263,"said just now that we, you and I, were the lion and the ass of",0,NEGATIVE,0.98796874
7264,"Kryloff’s fable, of course it is understood that I take the role of the",1,POSITIVE,0.99274194
7265,ass.,0,NEGATIVE,0.993777
7266,Your excellency is the lion of which the fable remarks:,1,POSITIVE,0.99562687
7267,"‘A mighty lion, terror of the woods,",1,POSITIVE,0.99546015
7268,Was shorn of his great prowess by old age.,0,NEGATIVE,0.9971827
7269,’,0,NEGATIVE,0.9367287
7270,"And I, your excellency, am the ass.",0,NEGATIVE,0.98122764
7271,”,0,NEGATIVE,0.977441
7272,"“I am of your opinion on that last point,” said Ivan Fedorovitch, with",1,POSITIVE,0.9923816
7273,ill-concealed irritation.,0,NEGATIVE,0.99278694
7274,"All this was no doubt extremely coarse, and moreover it was",0,NEGATIVE,0.99649286
7275,"premeditated, but after all Ferdishenko had persuaded everyone to",1,POSITIVE,0.9893625
7276,accept him as a buffoon.,0,NEGATIVE,0.99930245
