,line_no,line,sentiment
6749,6749,"But what a state you are in,",0.0
6750,6750,father!,0.0
6751,6751,"” added the boy, noticing his father’s unsteady gait.",0.0
6752,6752,"“Well, let",0.0
6753,6753,us go in.,0.0
6754,6754,”,0.0
6755,6755,"On meeting Colia the prince determined to accompany the general, though",0.34
6756,6756,he made up his mind to stay as short a time as possible.,0.0
6757,6757,He wanted,0.0
6758,6758,"Colia, but firmly resolved to leave the general behind.",0.1901
6759,6759,He could not,0.0
6760,6760,forgive himself for being so simple as to imagine that Ivolgin would be,0.2732
6761,6761,of any use.,0.0
6762,6762,The three climbed up the long staircase until they reached,0.1027
6763,6763,the fourth floor where Madame Terentieff lived.,0.0
6764,6764,"“You intend to introduce the prince?” asked Colia, as they went up.",0.0
6765,6765,"“Yes, my boy.",0.0
6766,6766,I wish to present him: General Ivolgin and Prince,0.4019
6767,6767,Muishkin!,0.0
6768,6768,But what’s the matter?,0.0387
6769,6769,... what?,0.0
6770,6770,...,0.0
6771,6771,How is Marfa Borisovna?,0.0
6772,6772,”,0.0
6773,6773,"“You know, father, you would have done much better not to come at all!",0.4926
6774,6774,She is ready to eat you up!,0.4199
6775,6775,You have not shown yourself since the day,0.0
6776,6776,before yesterday and she is expecting the money.,0.0
6777,6777,Why did you promise,0.3182
6778,6778,her any?,0.0
6779,6779,You are always the same!,0.0
6780,6780,"Well, now you will have to get out of",0.2732
6781,6781,it as best you can.,0.6369
6782,6782,”,0.0
6783,6783,They stopped before a somewhat low doorway on the fourth floor.,-0.4033
6784,6784,"Ardalion Alexandrovitch, evidently much out of countenance, pushed",0.0
6785,6785,Muishkin in front.,0.0
6786,6786,"“I will wait here,” he stammered.",-0.2263
6787,6787,“I should like to surprise her. ....”,0.5574
6788,6788,"Colia entered first, and as the door stood open, the mistress of the",0.0
6789,6789,house peeped out.,0.0
6790,6790,The surprise of the general’s imagination fell very,0.2732
6791,6791,"flat, for she at once began to address him in terms of reproach.",0.0
6792,6792,Marfa Borisovna was about forty years of age.,0.0
6793,6793,She wore a,0.0
6794,6794,"dressing-jacket, her feet were in slippers, her face painted, and her",0.0
6795,6795,hair was in dozens of small plaits.,0.0
6796,6796,No sooner did she catch sight of,-0.296
6797,6797,Ardalion Alexandrovitch than she screamed:,-0.3182
6798,6798,"“There he is, that wicked, mean wretch!",-0.5707
6799,6799,I knew it was he!,0.0
6800,6800,My heart,0.6369
6801,6801,misgave me!,0.0
6802,6802,”,0.0
6803,6803,The old man tried to put a good face on the affair.,0.4404
6804,6804,"“Come, let us go in—it’s all right,” he whispered in the prince’s ear.",0.0
6805,6805,But it was more serious than he wished to think.,-0.2238
6806,6806,As soon as the,0.0
6807,6807,"visitors had crossed the low dark hall, and entered the narrow",-0.2732
6808,6808,"reception-room, furnished with half a dozen cane chairs, and two small",0.0
6809,6809,"card-tables, Madame Terentieff, in the shrill tones habitual to her,",0.0
6810,6810,continued her stream of invectives.,0.0
6811,6811,“Are you not ashamed?,0.3724
6812,6812,Are you not ashamed?,0.3724
6813,6813,You barbarian!,0.0
6814,6814,You tyrant!,0.0
6815,6815,You have robbed me of all I possessed—you have sucked my bones to the,-0.4588
6816,6816,marrow.,0.0
6817,6817,How long shall I be your victim?,-0.2732
6818,6818,"Shameless, dishonourable man!",-0.4003
6819,6819,”,0.0
6820,6820,“Marfa Borisovna!,0.0
6821,6821,Marfa Borisovna!,0.0
6822,6822,Here is..,0.0
6823,6823,.,0.0
6824,6824,the Prince Muishkin!,0.0
6825,6825,"General Ivolgin and Prince Muishkin,” stammered the disconcerted old",-0.2263
6826,6826,man.,0.0
6827,6827,"“Would you believe,” said the mistress of the house, suddenly",0.0
6828,6828,"addressing the prince, “would you believe that that man has not even",0.0
6829,6829,spared my orphan children?,0.0
6830,6830,"He has stolen everything I possessed, sold",-0.4939
6831,6831,"everything, pawned everything; he has left me nothing—nothing!",0.0
6832,6832,What am,0.0
6833,6833,"I to do with your IOU’s, you cunning, unscrupulous rogue?",0.0
6834,6834,"Answer,",0.0
6835,6835,"devourer! answer, heart of stone!",0.6988
6836,6836,How shall I feed my orphans?,0.0
6837,6837,with,0.0
6838,6838,what shall I nourish them?,0.0
6839,6839,"And now he has come, he is drunk!",-0.4003
6840,6840,He can,0.0
6841,6841,scarcely stand.,0.0
6842,6842,"How, oh how, have I offended the Almighty, that He",-0.25
6843,6843,should bring this curse upon me!,-0.6616
6844,6844,"Answer, you worthless villain,",-0.7579
6845,6845,answer!,0.0
6846,6846,”,0.0
6847,6847,But this was too much for the general.,0.0
6848,6848,"“Here are twenty-five roubles, Marfa Borisovna... it is all that I can",0.0
6849,6849,give... and I owe even these to the prince’s generosity—my noble,0.4588
6850,6850,friend.,0.4939
6851,6851,I have been cruelly deceived.,-0.7717
6852,6852,Such is..,0.0
6853,6853,.,0.0
6854,6854,life...,0.0
6855,6855,Now...,0.0
6856,6856,Excuse,0.0772
6857,6857,"me, I am very weak,” he continued, standing in the centre of the room,",0.0
6858,6858,and bowing to all sides.,0.0
6859,6859,“I am faint; excuse me!,0.1511
6860,6860,Lenotchka... a,0.0
6861,6861,cushion... my dear!,0.4389
6862,6862,”,0.0
6863,6863,"Lenotchka, a little girl of eight, ran to fetch the cushion at once,",0.0
6864,6864,and placed it on the rickety old sofa.,0.0
6865,6865,The general meant to have said,0.0
6866,6866,"much more, but as soon as he had stretched himself out, he turned his",0.0
6867,6867,"face to the wall, and slept the sleep of the just.",0.0
6868,6868,"With a grave and ceremonious air, Marfa Borisovna motioned the prince",-0.3818
6869,6869,to a chair at one of the card-tables.,0.0
6870,6870,"She seated herself opposite,",0.0
6871,6871,"leaned her right cheek on her hand, and sat in silence, her eyes fixed",0.4939
6872,6872,"on Muishkin, now and again sighing deeply.",0.0
6873,6873,"The three children, two",0.0
6874,6874,"little girls and a boy, Lenotchka being the eldest, came and leant on",0.0
6875,6875,the table and also stared steadily at him.,0.0
6876,6876,Presently Colia appeared,0.0
6877,6877,from the adjoining room.,0.0
6878,6878,"“I am very glad indeed to have met you here, Colia,” said the prince.",0.5095
6879,6879,“Can you do something for me?,0.0
6880,6880,"I must see Nastasia Philipovna, and I",0.0
6881,6881,"asked Ardalion Alexandrovitch just now to take me to her house, but he",0.0
6882,6882,"has gone to sleep, as you see.",0.0
6883,6883,"Will you show me the way, for I do not",0.0
6884,6884,know the street?,0.0
6885,6885,"I have the address, though; it is close to the Grand",0.4588
6886,6886,Theatre.,0.0
6887,6887,”,0.0
6888,6888,“Nastasia Philipovna?,0.0
6889,6889,"She does not live there, and to tell you the",0.0
6890,6890,truth my father has never been to her house!,0.3802
6891,6891,It is strange that you,-0.2023
6892,6892,should have depended on him!,0.0
6893,6893,"She lives near Wladimir Street, at the",0.0
6894,6894,"Five Corners, and it is quite close by.",0.0
6895,6895,Will you go directly?,0.0
6896,6896,It is,0.0
6897,6897,just half-past nine.,0.0
6898,6898,I will show you the way with pleasure.,0.5719
6899,6899,”,0.0
6900,6900,Colia and the prince went off together.,0.0
6901,6901,Alas! the latter had no money,-0.5562
6902,6902,"to pay for a cab, so they were obliged to walk.",-0.1027
6903,6903,"“I should have liked to have taken you to see Hippolyte,” said Colia.",0.4215
6904,6904,"“He is the eldest son of the lady you met just now, and was in the next",0.0
6905,6905,room.,0.0
6906,6906,"He is ill, and has been in bed all day.",-0.4215
6907,6907,"But he is rather strange,",-0.296
6908,6908,"and extremely sensitive, and I thought he might be upset considering",-0.3818
6909,6909,the circumstances in which you came...,0.0
6910,6910,"Somehow it touches me less, as",0.0
6911,6911,"it concerns my father, while it is _his_ mother.",0.0
6912,6912,"That, of course, makes",0.0
6913,6913,a great difference.,0.6249
6914,6914,"What is a terrible disgrace to a woman, does not",-0.743
6915,6915,"disgrace a man, at least not in the same way.",-0.4939
6916,6916,Perhaps public opinion is,0.0
6917,6917,"wrong in condemning one sex, and excusing the other.",-0.4767
6918,6918,Hippolyte is an,0.0
6919,6919,"extremely clever boy, but so prejudiced.",-0.6079
6920,6920,He is really a slave to his,0.0
6921,6921,opinions.,0.0
6922,6922,”,0.0
6923,6923,“Do you say he is consumptive?”,0.0
6924,6924,“Yes.,0.0
6925,6925,It really would be happier for him to die young.,-0.0609
6926,6926,If I were in his,0.0
6927,6927,place I should certainly long for death.,-0.3612
6928,6928,He is unhappy about his,-0.4215
6929,6929,"brother and sisters, the children you saw.",0.0
6930,6930,"If it were possible, if we",0.0
6931,6931,"only had a little money, we should leave our respective families, and",0.3818
6932,6932,live together in a little apartment of our own.,0.0
6933,6933,It is our dream.,0.25
6934,6934,"But,",0.0
6935,6935,"do you know, when I was talking over your affair with him, he was",0.0
6936,6936,"angry, and said that anyone who did not call out a man who had given",-0.5106
6937,6937,him a blow was a coward.,-0.4588
6938,6938,"He is very irritable to-day, and I left off",-0.5256
6939,6939,arguing the matter with him.,-0.4404
6940,6940,So Nastasia Philipovna has invited you to,0.0
6941,6941,go and see her?,0.0
6942,6942,”,0.0
6943,6943,"“To tell the truth, she has not.”",0.3182
6944,6944,"“Then how do you come to be going there?” cried Colia, so much",-0.3818
6945,6945,astonished that he stopped short in the middle of the pavement.,0.1779
6946,6946,“And...,0.0
6947,6947,and are you going to her ‘At Home’ in that costume?,0.0
6948,6948,”,0.0
6949,6949,"“I don’t know, really, whether I shall be allowed in at all.",0.0
6950,6950,If she,0.0
6951,6951,"will receive me, so much the better.",0.4877
6952,6952,"If not, the matter is ended.",-0.0191
6953,6953,As to,0.0
6954,6954,my clothes—what can I do?,0.0
6955,6955,”,0.0
6956,6956,"“Are you going there for some particular reason, or only as a way of",0.0
6957,6957,"getting into her society, and that of her friends?",0.4767
6958,6958,”,0.0
6959,6959,"“No, I have really an object in going...",0.0
6960,6960,"That is, I am going on",0.0
6961,6961,"business it is difficult to explain, but...”",-0.3612
6962,6962,"“Well, whether you go on business or not is your affair, I do not want",-0.0572
6963,6963,to know.,0.0
6964,6964,"The only important thing, in my eyes, is that you should not",0.2023
6965,6965,be going there simply for the pleasure of spending your evening in such,0.5719
6966,6966,"company—cocottes, generals, usurers!",0.0
6967,6967,If that were the case I should,0.0
6968,6968,despise and laugh at you.,0.296
6969,6969,"There are terribly few honest people here,",-0.0772
6970,6970,"and hardly any whom one can respect, although people put on airs—Varia",0.4767
6971,6971,especially!,0.0
6972,6972,"Have you noticed, prince, how many adventurers there are",0.2263
6973,6973,nowadays?,0.0
6974,6974,"Especially here, in our dear Russia.",0.3818
6975,6975,How it has happened I,0.0
6976,6976,never can understand.,0.0
6977,6977,There used to be a certain amount of solidity in,0.2732
6978,6978,"all things, but now what happens?",0.0
6979,6979,Everything is exposed to the public,-0.0772
6980,6980,"gaze, veils are thrown back, every wound is probed by careless fingers.",-0.3612
6981,6981,We are for ever present at an orgy of scandalous revelations.,-0.5267
6982,6982,Parents,0.0
6983,6983,blush when they remember their old-fashioned morality.,0.0
6984,6984,At Moscow lately,0.0
6985,6985,"a father was heard urging his son to stop at nothing—at nothing, mind",-0.296
6986,6986,you!,0.0
6987,6987,—to get money!,0.0
6988,6988,"The press seized upon the story, of course, and now",0.0
6989,6989,it is public property.,0.0
6990,6990,"Look at my father, the general!",0.0
6991,6991,"See what he is,",0.0
6992,6992,"and yet, I assure you, he is an honest man!",0.7177
6993,6993,"Only... he drinks too much,",0.0
6994,6994,and his morals are not all we could desire.,0.4019
6995,6995,"Yes, that’s true!",0.6996
6996,6996,I pity,-0.296
6997,6997,"him, to tell the truth, but I dare not say so, because everybody would",0.1655
6998,6998,laugh at me—but I do pity him!,0.4003
6999,6999,"And who are the really clever men, after",0.5095
7000,7000,all?,0.0
7001,7001,"Money-grubbers, every one of them, from the first to the last.",0.0
7002,7002,"Hippolyte finds excuses for money-lending, and says it is a necessity.",0.0
7003,7003,"He talks about the economic movement, and the ebb and flow of capital;",0.0
7004,7004,the devil knows what he means.,-0.6597
7005,7005,"It makes me angry to hear him talk so,",-0.5106
7006,7006,but he is soured by his troubles.,-0.6124
7007,7007,Just imagine—the general keeps his,0.0
7008,7008,mother—but she lends him money!,0.0
7009,7009,She lends it for a week or ten days at,0.0
7010,7010,very high interest!,0.553
7011,7011,Isn’t it disgusting?,-0.5267
7012,7012,"And then, you would hardly",0.0
7013,7013,"believe it, but my mother—Nina Alexandrovna—helps Hippolyte in all",0.0
7014,7014,"sorts of ways, sends him money and clothes.",0.0
7015,7015,She even goes as far as,0.0
7016,7016,"helping the children, through Hippolyte, because their mother cares",0.6369
7017,7017,"nothing about them, and Varia does the same.",0.0
7018,7018,”,0.0
7019,7019,"“Well, just now you said there were no honest nor good people about,",-0.1684
7020,7020,that there were only money-grubbers—and here they are quite close at,0.0
7021,7021,"hand, these honest and good people, your mother and Varia!",0.8655
7022,7022,I think,0.0
7023,7023,there is a good deal of moral strength in helping people in such,0.8074
7024,7024,circumstances.,0.0
7025,7025,”,0.0
7026,7026,"“Varia does it from pride, and likes showing off, and giving herself",0.765
7027,7027,airs.,0.0
7028,7028,"As to my mother, I really do admire her—yes, and honour her.",0.7951
7029,7029,"Hippolyte, hardened as he is, feels it.",0.0
7030,7030,"He laughed at first, and",0.4588
7031,7031,"thought it vulgar of her—but now, he is sometimes quite touched and",0.0
7032,7032,overcome by her kindness.,0.4588
7033,7033,H’m!,0.0
7034,7034,You call that being strong and good?,0.7351
7035,7035,I,0.0
7036,7036,will remember that!,0.0
7037,7037,Gania knows nothing about it.,0.0
7038,7038,He would say that it,0.0
7039,7039,was encouraging vice.,0.5267
7040,7040,”,0.0
7041,7041,"“Ah, Gania knows nothing about it?",0.0
7042,7042,It seems there are many things that,0.0
7043,7043,"Gania does not know,” exclaimed the prince, as he considered Colia’s",0.0
7044,7044,last words.,0.0
7045,7045,"“Do you know, I like you very much indeed, prince?",0.3612
7046,7046,I shall never forget,0.1695
7047,7047,about this afternoon.,0.0
7048,7048,”,0.0
7049,7049,"“I like you too, Colia.”",0.3612
7050,7050,"“Listen to me! You are going to live here, are you not?” said Colia.",0.0
7051,7051,“I,0.0
7052,7052,"mean to get something to do directly, and earn money.",0.0
7053,7053,Then shall we,0.0
7054,7054,three live together?,0.0
7055,7055,"You, and I, and Hippolyte?",0.0
7056,7056,"We will hire a flat,",0.0
7057,7057,and let the general come and visit us.,0.0
7058,7058,What do you say?,0.0
7059,7059,”,0.0
7060,7060,"“It would be very pleasant,” returned the prince.",0.0
7061,7061,“But we must see.,0.0
7062,7062,I,0.0
7063,7063,am really rather worried just now.,-0.3566
7064,7064,What! are we there already?,0.0
7065,7065,Is that,0.0
7066,7066,the house?,0.0
7067,7067,What a long flight of steps!,0.0
7068,7068,And there’s a porter!,0.0
7069,7069,"Well,",0.2732
7070,7070,Colia I don’t know what will come of it all.,0.0
7071,7071,”,0.0
7072,7072,The prince seemed quite distracted for the moment.,-0.4005
7073,7073,“You must tell me all about it tomorrow!,0.0
7074,7074,Don’t be afraid.,0.0
7075,7075,I wish you,0.4019
7076,7076,"success; we agree so entirely that I can do so, although I do not",0.7351
7077,7077,understand why you are here.,0.0
7078,7078,Good-bye!,0.0
7079,7079,” cried Colia excitedly.,0.1779
7080,7080,“Now I,0.0
7081,7081,will rush back and tell Hippolyte all about our plans and proposals!,0.0
7082,7082,But as to your getting in—don’t be in the least afraid.,0.0
7083,7083,You will see,0.0
7084,7084,her.,0.0
7085,7085,She is so original about everything.,0.4572
7086,7086,It’s the first floor.,0.0
7087,7087,The,0.0
7088,7088,porter will show you.,0.0
7089,7089,”,0.0
7090,7090,XIII.,0.0
7091,7091,The prince was very nervous as he reached the outer door; but he did,-0.1272
7092,7092,his best to encourage himself with the reflection that the worst thing,0.5267
7093,7093,"that could happen to him would be that he would not be received, or,",0.0
7094,7094,"perhaps, received, then laughed at for coming.",0.4588
7095,7095,"But there was another question, which terrified him considerably, and",-0.7579
7096,7096,that was: what was he going to do when he _did_ get in?,0.0
7097,7097,And to this,0.0
7098,7098,question he could fashion no satisfactory reply.,-0.2755
7099,7099,If only he could find an opportunity of coming close up to Nastasia,0.4215
7100,7100,Philipovna and saying to her: “Don’t ruin yourself by marrying this,-0.5859
7101,7101,man.,0.0
7102,7102,"He does not love you, he only loves your money.",0.0854
7103,7103,He told me so,0.0
7104,7104,"himself, and so did Aglaya Ivanovna, and I have come on purpose to warn",-0.1027
7105,7105,you”—but even that did not seem quite a legitimate or practicable thing,0.0
7106,7106,to do.,0.0
7107,7107,"Then, again, there was another delicate question, to which he",0.0516
7108,7108,"could not find an answer; dared not, in fact, think of it; but at the",0.0
7109,7109,very idea of which he trembled and blushed.,-0.2732
7110,7110,"However, in spite of all",-0.5267
7111,7111,"his fears and heart-quakings he went in, and asked for Nastasia",-0.4215
7112,7112,Philipovna.,0.0
7113,7113,"Nastasia occupied a medium-sized, but distinctly tasteful, flat,",0.0
7114,7114,beautifully furnished and arranged.,0.5719
7115,7115,At one period of these five years,0.0
7116,7116,"of Petersburg life, Totski had certainly not spared his expenditure",0.34
7117,7117,upon her.,0.0
7118,7118,"He had calculated upon her eventual love, and tried to tempt",0.6369
7119,7119,"her with a lavish outlay upon comforts and luxuries, knowing too well",0.6369
7120,7120,"how easily the heart accustoms itself to comforts, and how difficult it",0.802
7121,7121,is to tear one’s self away from luxuries which have become habitual,0.0
7122,7122,"and, little by little, indispensable.",0.0
7123,7123,"Nastasia did not reject all this, she even loved her comforts and",0.8503
7124,7124,"luxuries, but, strangely enough, never became, in the least degree,",-0.4215
7125,7125,"dependent upon them, and always gave the impression that she could do",0.2263
7126,7126,just as well without them.,0.2732
7127,7127,"In fact, she went so far as to inform Totski",0.0
7128,7128,"on several occasions that such was the case, which the latter gentleman",0.0
7129,7129,considered a very unpleasant communication indeed.,-0.5256
7130,7130,"But, of late, Totski had observed many strange and original features",0.1901
7131,7131,"and characteristics in Nastasia, which he had neither known nor",0.0
7132,7132,"reckoned upon in former times, and some of these fascinated him, even",0.4767
7133,7133,"now, in spite of the fact that all his old calculations with regard to",-0.5267
7134,7134,her were long ago cast to the winds.,0.0
7135,7135,A maid opened the door for the prince,0.0
7136,7136,(Nastasia’s servants were all,0.0
7137,7137,females),0.0
7138,7138,"and, to his surprise, received his request to announce him to",0.2732
7139,7139,her mistress without any astonishment.,0.0
7140,7140,"Neither his dirty boots, nor his",0.3412
7141,7141,"wide-brimmed hat, nor his sleeveless cloak, nor his evident confusion",0.2235
7142,7142,"of manner, produced the least impression upon her.",-0.1695
7143,7143,She helped him off,0.0
7144,7144,"with his cloak, and begged him to wait a moment in the ante-room while",0.0
7145,7145,she announced him.,0.0
7146,7146,The company assembled at Nastasia Philipovna’s consisted of none but,0.0
7147,7147,"her most intimate friends, and formed a very small party in comparison",0.7474
7148,7148,with her usual gatherings on this anniversary.,0.0
7149,7149,"In the first place there were present Totski, and General Epanchin.",0.0
7150,7150,"They were both highly amiable, but both appeared to be labouring under",0.0
7151,7151,a half-hidden feeling of anxiety as to the result of Nastasia’s,-0.0516
7152,7152,"deliberations with regard to Gania, which result was to be made public",0.0
7153,7153,this evening.,0.0
7154,7154,"Then, of course, there was Gania who was by no means so amiable as his",-0.296
7155,7155,"elders, but stood apart, gloomy, and miserable, and silent.",-0.7351
7156,7156,He had,0.0
7157,7157,determined not to bring Varia with him; but Nastasia had not even asked,0.1779
7158,7158,"after her, though no sooner had he arrived than she had reminded him of",-0.296
7159,7159,the episode between himself and the prince.,0.0
7160,7160,"The general, who had heard",0.0
7161,7161,"nothing of it before, began to listen with some interest, while Gania,",0.4588
7162,7162,"drily, but with perfect candour, went through the whole history,",0.7227
7163,7163,including the fact of his apology to the prince.,0.0516
7164,7164,He finished by,0.0
7165,7165,"declaring that the prince was a most extraordinary man, and goodness",0.4588
7166,7166,"knows why he had been considered an idiot hitherto, for he was very far",-0.5106
7167,7167,from being one.,0.0
7168,7168,Nastasia listened to all this with great interest; but the conversation,0.5499
7169,7169,"soon turned to Rogojin and his visit, and this theme proved of the",0.0
7170,7170,greatest attraction to both Totski and the general.,0.802
7171,7171,Ptitsin was able to afford some particulars as to Rogojin’s conduct,0.0
7172,7172,since the afternoon.,0.0
7173,7173,He declared that he had been busy finding money,0.0
7174,7174,"for the latter ever since, and up to nine o’clock, Rogojin having",0.0
7175,7175,declared that he must absolutely have a hundred thousand roubles by the,0.0
7176,7176,evening.,0.0
7177,7177,"He added that Rogojin was drunk, of course; but that he",-0.1779
7178,7178,"thought the money would be forthcoming, for the excited and intoxicated",0.34
7179,7179,rapture of the fellow impelled him to give any interest or premium that,0.5574
7180,7180,"was asked of him, and there were several others engaged in beating up",-0.0772
7181,7181,"the money, also.",0.0
7182,7182,All this news was received by the company with somewhat gloomy,-0.079
7183,7183,interest.,0.4588
7184,7184,"Nastasia was silent, and would not say what she thought about",0.0
7185,7185,it.,0.0
7186,7186,Gania was equally uncommunicative.,0.0
7187,7187,The general seemed the most,0.0
7188,7188,"anxious of all, and decidedly uneasy.",-0.5984
7189,7189,The present of pearls which he,0.0
7190,7190,had prepared with so much joy in the morning had been accepted but,0.5483
7191,7191,"coldly, and Nastasia had smiled rather disagreeably as she took it from",0.25
7192,7192,him.,0.0
7193,7193,Ferdishenko was the only person present in good spirits.,0.4404
7194,7194,"Totski himself, who had the reputation of being a capital talker, and",0.0
7195,7195,"was usually the life and soul of these entertainments, was as silent as",0.5106
7196,7196,"any on this occasion, and sat in a state of, for him, most uncommon",0.0
7197,7197,perturbation.,0.0
7198,7198,The rest of the guests,0.0
7199,7199,"(an old tutor or schoolmaster, goodness knows",0.4588
7200,7200,"why invited; a young man, very timid, and shy and silent; a rather loud",-0.5509
7201,7201,"woman of about forty, apparently an actress; and a very pretty,",0.5413
7202,7202,well-dressed German lady who hardly said a word all the evening),0.0
7203,7203,not,0.0
7204,7204,"only had no gift for enlivening the proceedings, but hardly knew what",-0.1786
7205,7205,to say for themselves when addressed.,0.0
7206,7206,Under these circumstances the,0.0
7207,7207,arrival of the prince came almost as a godsend.,0.5478
7208,7208,The announcement of his name gave rise to some surprise and to some,0.2732
7209,7209,"smiles, especially when it became evident, from Nastasia’s astonished",0.6908
7210,7210,"look, that she had not thought of inviting him.",-0.2411
7211,7211,But her astonishment,0.0
7212,7212,"once over, Nastasia showed such satisfaction that all prepared to greet",0.7269
7213,7213,the prince with cordial smiles of welcome.,0.7269
7214,7214,"“Of course,” remarked General Epanchin, “he does this out of pure",0.0
7215,7215,innocence.,0.3818
7216,7216,"It’s a little dangerous, perhaps, to encourage this sort of",0.1263
7217,7217,freedom; but it is rather a good thing that he has arrived just at this,0.7543
7218,7218,moment.,0.0
7219,7219,He may enliven us a little with his originalities.,0.0
7220,7220,”,0.0
7221,7221,"“Especially as he asked himself,” said Ferdishenko.",0.0
7222,7222,"“What’s that got to do with it?” asked the general, who loathed",-0.4767
7223,7223,Ferdishenko.,0.0
7224,7224,"“Why, he must pay toll for his entrance,” explained the latter.",-0.1027
7225,7225,"“H’m! Prince Muishkin is not Ferdishenko,” said the general,",0.0
7226,7226,impatiently.,-0.4019
7227,7227,This worthy gentleman could never quite reconcile himself,0.4404
7228,7228,"to the idea of meeting Ferdishenko in society, and on an equal footing.",0.0
7229,7229,"“Oh general, spare Ferdishenko!” replied the other, smiling.",0.5093
7230,7230,“I have,0.0
7231,7231,special privileges.,0.6486
7232,7232,”,0.0
7233,7233,“What do you mean by special privileges?”,0.4019
7234,7234,“Once before I had the honour of stating them to the company.,0.5719
7235,7235,I will,0.0
7236,7236,repeat the explanation to-day for your excellency’s benefit.,0.4588
7237,7237,"You see,",0.0
7238,7238,"excellency, all the world is witty and clever except myself.",0.7579
7239,7239,I am,0.0
7240,7240,neither.,0.0
7241,7241,"As a kind of compensation I am allowed to tell the truth, for",0.3182
7242,7242,it is a well-known fact that only stupid people tell ‘the truth.’ Added,-0.5267
7243,7243,"to this, I am a spiteful man, just because I am not clever.",-0.6575
7244,7244,If I am,0.0
7245,7245,offended or injured I bear it quite patiently until the man injuring me,-0.5719
7246,7246,meets with some misfortune.,0.0
7247,7247,"Then I remember, and take my revenge.",-0.5267
7248,7248,I,0.0
7249,7249,"return the injury sevenfold, as Ivan Petrovitch Ptitsin says.",-0.4215
7250,7250,(Of,0.0
7251,7251,course he never does so himself.,0.0
7252,7252,),0.0
7253,7253,"Excellency, no doubt you recollect",0.6818
7254,7254,"Kryloff’s fable, ‘The Lion and the Ass’?",0.0
7255,7255,"Well now, that’s you and I.",0.2732
7256,7256,That fable was written precisely for us.,0.0
7257,7257,”,0.0
7258,7258,"“You seem to be talking nonsense again, Ferdishenko,” growled the",-0.4019
7259,7259,general.,0.0
7260,7260,"“What is the matter, excellency?",0.5574
7261,7261,I know how to keep my place.,0.0
7262,7262,When I,0.0
7263,7263,"said just now that we, you and I, were the lion and the ass of",-0.5423
7264,7264,"Kryloff’s fable, of course it is understood that I take the role of the",0.0
7265,7265,ass.,-0.5423
7266,7266,Your excellency is the lion of which the fable remarks:,0.5423
7267,7267,"‘A mighty lion, terror of the woods,",-0.5267
7268,7268,Was shorn of his great prowess by old age.,0.6249
7269,7269,’,0.0
7270,7270,"And I, your excellency, am the ass.",0.0
7271,7271,”,0.0
7272,7272,"“I am of your opinion on that last point,” said Ivan Fedorovitch, with",0.0
7273,7273,ill-concealed irritation.,-0.5106
7274,7274,"All this was no doubt extremely coarse, and moreover it was",0.2755
7275,7275,"premeditated, but after all Ferdishenko had persuaded everyone to",0.0
7276,7276,accept him as a buffoon.,0.3818
7277,7277,"“If I am admitted and tolerated here,” he had said one day, “it is",0.1027
7278,7278,simply because I talk in this way.,0.0
7279,7279,How can anyone possibly receive such,0.0
7280,7280,a man as I am?,0.0
7281,7281,I quite understand.,0.0
7282,7282,"Now, could I, a Ferdishenko, be",0.0
7283,7283,allowed to sit shoulder to shoulder with a clever man like Afanasy,0.6705
7284,7284,Ivanovitch?,0.0
7285,7285,"There is one explanation, only one.",0.0
7286,7286,I am given the position,0.0
7287,7287,because it is so entirely inconceivable!,0.0
7288,7288,”,0.0
7289,7289,"But these vulgarities seemed to please Nastasia Philipovna, although",0.4497
7290,7290,too often they were both rude and offensive.,-0.7184
7291,7291,Those who wished to go to,0.0
7292,7292,her house were forced to put up with Ferdishenko.,-0.4588
7293,7293,Possibly the latter,0.0
7294,7294,was not mistaken in imagining that he was received simply in order to,0.2755
7295,7295,"annoy Totski, who disliked him extremely.",-0.6808
7296,7296,Gania also was often made the,0.0
7297,7297,"butt of the jester’s sarcasms, who used this method of keeping in",-0.2263
7298,7298,Nastasia Philipovna’s good graces.,0.6705
7299,7299,"“The prince will begin by singing us a fashionable ditty,” remarked",0.0
7300,7300,"Ferdishenko, and looked at the mistress of the house, to see what she",0.0
7301,7301,would say.,0.0
7302,7302,"“I don’t think so, Ferdishenko; please be quiet,” answered Nastasia",0.3182
7303,7303,Philipovna dryly.,0.0
7304,7304,"“A-ah! if he is to be under special patronage, I withdraw my claws.”",0.4574
7305,7305,But Nastasia Philipovna had now risen and advanced to meet the prince.,0.3612
7306,7306,"“I was so sorry to have forgotten to ask you to come, when I saw you,”",-0.3902
7307,7307,"she said, “and I am delighted to be able to thank you personally now,",0.7003
7308,7308,and to express my pleasure at your resolution.,0.5719
7309,7309,”,0.0
7310,7310,"So saying she gazed into his eyes, longing to see whether she could",-0.0258
7311,7311,make any guess as to the explanation of his motive in coming to her,0.0
7312,7312,house.,0.0
7313,7313,The prince would very likely have made some reply to her kind,0.5267
7314,7314,"words, but he was so dazzled by her appearance that he could not speak.",0.0
7315,7315,Nastasia noticed this with satisfaction.,0.4404
7316,7316,She was in full dress this,0.0
7317,7317,evening; and her appearance was certainly calculated to impress all,0.6486
7318,7318,beholders.,0.0
7319,7319,She took his hand and led him towards her other guests.,0.4939
7320,7320,But,0.0
7321,7321,"just before they reached the drawing-room door, the prince stopped her,",-0.128
