line_no,line,sentiment,label,score
771,"“Make their acquaintance?” asked the man, in amazement, and with",4,5 stars,0.2774008
772,redoubled suspicion.,3,4 stars,0.21407388
773,“Then why did you say you had business with the,0,1 star,0.28643292
774,general?,2,3 stars,0.29826838
775,”,4,5 stars,0.30857787
776,"“Oh well, very little business.",0,1 star,0.45208496
777,There is one little matter—some advice,2,3 stars,0.35370967
778,I am going to ask him for; but my principal object is simply to,2,3 stars,0.43321684
779,"introduce myself, because I am Prince Muishkin, and Madame Epanchin is",4,5 stars,0.6454765
780,"the last of her branch of the house, and besides herself and me there",4,5 stars,0.470526
781,are no other Muishkins left.,2,3 stars,0.28995946
782,”,4,5 stars,0.30857787
783,"“What—you’re a relation then, are you?” asked the servant, so",2,3 stars,0.2360422
784,bewildered that he began to feel quite alarmed.,1,2 stars,0.47248197
785,"“Well, hardly so.",2,3 stars,0.45783177
786,"If you stretch a point, we are relations, of course,",2,3 stars,0.3763
787,but so distant that one cannot really take cognizance of it.,1,2 stars,0.40741894
788,I once,4,5 stars,0.28587943
789,"wrote to your mistress from abroad, but she did not reply.",0,1 star,0.54592013
790,"However, I",2,3 stars,0.45707762
791,have thought it right to make acquaintance with her on my arrival.,4,5 stars,0.36799482
792,I am,4,5 stars,0.4585225
793,"telling you all this in order to ease your mind, for I see you are",4,5 stars,0.54839826
794,still far from comfortable on my account.,2,3 stars,0.4121209
795,All you have to do is to,4,5 stars,0.3793112
796,"announce me as Prince Muishkin, and the object of my visit will be",4,5 stars,0.45523572
797,plain enough.,3,4 stars,0.34691352
798,"If I am received—very good; if not, well, very good",3,4 stars,0.43106627
799,again.,4,5 stars,0.4898853
800,"But they are sure to receive me, I should think; Madame Epanchin",2,3 stars,0.43435442
801,will naturally be curious to see the only remaining representative of,2,3 stars,0.35355324
802,her family.,3,4 stars,0.35397267
803,"She values her Muishkin descent very highly, if I am",4,5 stars,0.55700964
804,rightly informed.,4,5 stars,0.6235421
805,”,4,5 stars,0.30857787
806,"The prince’s conversation was artless and confiding to a degree, and",4,5 stars,0.3169788
807,the servant could not help feeling that as from visitor to common,1,2 stars,0.38997158
808,serving-man this state of things was highly improper.,0,1 star,0.5600384
809,His conclusion,2,3 stars,0.29045442
810,was that one of two things must be the explanation—either that this was,2,3 stars,0.33624005
811,"a begging impostor, or that the prince, if prince he were, was simply a",0,1 star,0.70655954
812,"fool, without the slightest ambition; for a sensible prince with any",0,1 star,0.32576427
813,"ambition would certainly not wait about in ante-rooms with servants,",2,3 stars,0.37647977
814,and talk of his own private affairs like this.,4,5 stars,0.5461121
815,"In either case, how was",2,3 stars,0.32066494
816,he to announce this singular visitor?,0,1 star,0.24044159
817,“I really think I must request you to step into the next room!” he,4,5 stars,0.50161326
818,"said, with all the insistence he could muster.",4,5 stars,0.2510715
819,“Why?,0,1 star,0.35756373
820,"If I had been sitting there now, I should not have had the",2,3 stars,0.37001455
821,opportunity of making these personal explanations.,3,4 stars,0.4131638
822,I see you are still,4,5 stars,0.34153667
823,uneasy about me and keep eyeing my cloak and bundle.,1,2 stars,0.50795
824,Don’t you think,0,1 star,0.3348051
825,"you might go in yourself now, without waiting for the secretary to come",2,3 stars,0.2963681
826,out?,0,1 star,0.52297544
827,”,4,5 stars,0.30857787
828,"“No, no!",0,1 star,0.7610055
829,I can’t announce a visitor like yourself without the,4,5 stars,0.24104542
830,secretary.,3,4 stars,0.27778196
831,Besides the general said he was not to be disturbed—he is,0,1 star,0.29254374
832,with the Colonel C—.,3,4 stars,0.3634452
833,Gavrila Ardalionovitch goes in without,0,1 star,0.3143506
834,announcing.,0,1 star,0.39533448
835,”,4,5 stars,0.30857787
836,“Who may that be? a clerk?”,0,1 star,0.29276502
837,“What?,0,1 star,0.3657807
838,Gavrila Ardalionovitch?,2,3 stars,0.2950731
839,Oh no; he belongs to one of the,0,1 star,0.5042134
840,companies.,4,5 stars,0.35901704
841,"Look here, at all events put your bundle down, here.",0,1 star,0.4042337
842,”,4,5 stars,0.30857787
843,"“Yes, I will if I may; and—can I take off my cloak”",4,5 stars,0.26836622
844,"“Of course; you can’t go in _there_ with it on, anyhow.”",2,3 stars,0.30768874
845,"The prince rose and took off his mantle, revealing a neat enough",1,2 stars,0.2722532
846,"morning costume—a little worn, but well made.",3,4 stars,0.62590885
847,He wore a steel watch,2,3 stars,0.24966878
848,chain and from this chain there hung a silver Geneva watch.,4,5 stars,0.3244256
849,Fool the,0,1 star,0.44194978
850,"prince might be, still, the general’s servant felt that it was not",2,3 stars,0.42388058
851,"correct for him to continue to converse thus with a visitor, in spite",2,3 stars,0.52281046
852,of the fact that the prince pleased him somehow.,3,4 stars,0.37833112
853,"“And what time of day does the lady receive?” the latter asked,",2,3 stars,0.26152262
854,reseating himself in his old place.,4,5 stars,0.48298806
855,"“Oh, that’s not in _my_ province!",0,1 star,0.444626
856,I believe she receives at any time;,4,5 stars,0.44065422
857,it depends upon the visitors.,2,3 stars,0.5250779
858,The dressmaker goes in at eleven.,3,4 stars,0.3651503
859,Gavrila,3,4 stars,0.29952118
860,"Ardalionovitch is allowed much earlier than other people, too; he is",2,3 stars,0.2836004
861,even admitted to early lunch now and then.,4,5 stars,0.5071789
862,”,4,5 stars,0.30857787
863,"“It is much warmer in the rooms here than it is abroad at this season,”",4,5 stars,0.4687889
864,observed the prince; “but it is much warmer there out of doors.,2,3 stars,0.5366092
865,As for,3,4 stars,0.34093225
866,the houses—a Russian can’t live in them in the winter until he gets,2,3 stars,0.2826793
867,accustomed to them.,3,4 stars,0.48769367
868,”,4,5 stars,0.30857787
869,“Don’t they heat them at all?”,0,1 star,0.43774736
870,"“Well, they do heat them a little; but the houses and stoves are so",2,3 stars,0.46367243
871,different to ours.,3,4 stars,0.2906685
872,”,4,5 stars,0.30857787
873,“H’m! were you long away?”,4,5 stars,0.25616303
874,"“Four years! and I was in the same place nearly all the time,—in one",4,5 stars,0.6088098
875,village.,3,4 stars,0.30525082
876,”,4,5 stars,0.30857787
877,"“You must have forgotten Russia, hadn’t you?”",4,5 stars,0.38336366
878,"“Yes, indeed I had—a good deal; and, would you believe it, I often",3,4 stars,0.31260636
879,wonder at myself for not having forgotten how to speak Russian?,0,1 star,0.30465543
880,Even,4,5 stars,0.35735717
881,"now, as I talk to you, I keep saying to myself ‘how well I am speaking",4,5 stars,0.49122298
882,it.,4,5 stars,0.26240775
883,’ Perhaps that is partly why I am so talkative this morning.,2,3 stars,0.3298151
884,I,4,5 stars,0.24874815
885,"assure you, ever since yesterday evening I have had the strongest",4,5 stars,0.80276376
886,desire to go on and on talking Russian.,2,3 stars,0.21111879
887,”,4,5 stars,0.30857787
888,“H’m! yes; did you live in Petersburg in former years?”,4,5 stars,0.3089269
889,"This good flunkey, in spite of his conscientious scruples, really could",3,4 stars,0.47266474
890,not resist continuing such a very genteel and agreeable conversation.,1,2 stars,0.44023368
891,“In Petersburg?,0,1 star,0.30751047
892,"Oh no! hardly at all, and now they say so much is",0,1 star,0.60644
893,changed in the place that even those who did know it well are obliged,4,5 stars,0.3141359
894,to relearn what they knew.,4,5 stars,0.3507349
895,They talk a good deal about the new law,3,4 stars,0.4645678
896,"courts, and changes there, don’t they?",2,3 stars,0.23247224
897,”,4,5 stars,0.30857787
898,"“H’m! yes, that’s true enough.",4,5 stars,0.46932253
899,"Well now, how is the law over there, do",4,5 stars,0.2923375
900,they administer it more justly than here?,2,3 stars,0.32804096
901,”,4,5 stars,0.30857787
902,"“Oh, I don’t know about that!",0,1 star,0.28292403
903,I’ve heard much that is good about our,4,5 stars,0.44302067
904,"legal administration, too.",3,4 stars,0.33964968
905,There is no capital punishment here for one,0,1 star,0.5576809
906,thing.,4,5 stars,0.2903455
907,”,4,5 stars,0.30857787
908,“Is there over there?”,0,1 star,0.31396425
909,“Yes—I saw an execution in France—at Lyons.,0,1 star,0.25791392
910,Schneider took me over with,2,3 stars,0.2772115
911,him to see it.,4,5 stars,0.36175874
912,”,4,5 stars,0.30857787
913,"“What, did they hang the fellow?”",0,1 star,0.41416302
914,"“No, they cut off people’s heads in France.”",0,1 star,0.6518179
915,“What did the fellow do?—yell?”,0,1 star,0.2910137
916,“Oh no—it’s the work of an instant.,4,5 stars,0.390719
917,They put a man inside a frame and a,0,1 star,0.39690652
918,sort of broad knife falls by machinery—they call the thing a,1,2 stars,0.32998925
919,guillotine—it falls with fearful force and weight—the head springs off,0,1 star,0.834264
920,so quickly that you can’t wink your eye in between.,1,2 stars,0.27305135
921,But all the,2,3 stars,0.3905208
922,preparations are so dreadful.,0,1 star,0.69738
923,"When they announce the sentence, you",2,3 stars,0.24273947
924,"know, and prepare the criminal and tie his hands, and cart him off to",4,5 stars,0.38464215
925,the scaffold—that’s the fearful part of the business.,0,1 star,0.2894738
926,The people all,4,5 stars,0.4471145
927,crowd round—even women—though they don’t at all approve of women,0,1 star,0.37741482
928,looking on.,3,4 stars,0.30183265
929,”,4,5 stars,0.30857787
930,"“No, it’s not a thing for women.”",0,1 star,0.4429927
931,“Of course not—of course not!,0,1 star,0.6234542
932,—bah!,0,1 star,0.45695934
933,The criminal was a fine intelligent,3,4 stars,0.44956315
934,fearless man; Le Gros was his name; and I may tell you—believe it or,0,1 star,0.55705255
935,"not, as you like—that when that man stepped upon the scaffold he",0,1 star,0.4211927
936,"_cried_, he did indeed,—he was as white as a bit of paper.",4,5 stars,0.30048144
937,Isn’t it a,0,1 star,0.3266819
938,dreadful idea that he should have cried—cried!,0,1 star,0.8726907
939,Whoever heard of a grown,0,1 star,0.34734526
940,"man crying from fear—not a child, but a man who never had cried",0,1 star,0.28304905
941,before—a grown man of forty-five years.,4,5 stars,0.30463815
942,Imagine what must have been,4,5 stars,0.6667428
943,going on in that man’s mind at such a moment; what dreadful convulsions,0,1 star,0.4837778
944,his whole spirit must have endured; it is an outrage on the soul that’s,4,5 stars,0.33249515
945,what it is.,4,5 stars,0.54542965
946,"Because it is said ‘thou shalt not kill,’ is he to be",4,5 stars,0.261989
947,killed because he murdered some one else?,0,1 star,0.67171866
948,"No, it is not right, it’s an",0,1 star,0.55623525
949,impossible theory.,0,1 star,0.48335937
950,"I assure you, I saw the sight a month ago and it’s",4,5 stars,0.3672903
951,dancing before my eyes to this moment.,4,5 stars,0.4667571
952,"I dream of it, often.",4,5 stars,0.5383904
953,”,4,5 stars,0.30857787
954,"The prince had grown animated as he spoke, and a tinge of colour",1,2 stars,0.34715042
955,"suffused his pale face, though his way of talking was as quiet as ever.",2,3 stars,0.41456982
956,The servant followed his words with sympathetic interest.,3,4 stars,0.42566273
957,Clearly he,2,3 stars,0.2537553
958,was not at all anxious to bring the conversation to an end.,1,2 stars,0.40243548
959,Who knows?,0,1 star,0.27756295
960,Perhaps he too was a man of imagination and with some capacity for,2,3 stars,0.4781753
961,thought.,2,3 stars,0.27325693
962,"“Well, at all events it is a good thing that there’s no pain when the",3,4 stars,0.4696748
963,"poor fellow’s head flies off,” he remarked.",0,1 star,0.70128566
964,"“Do you know, though,” cried the prince warmly, “you made that remark",3,4 stars,0.2589662
965,"now, and everyone says the same thing, and the machine is designed with",4,5 stars,0.53078157
966,"the purpose of avoiding pain, this guillotine I mean; but a thought",0,1 star,0.2861335
967,came into my head then: what if it be a bad plan after all?,0,1 star,0.43874985
968,You may,2,3 stars,0.2414561
969,"laugh at my idea, perhaps—but I could not help its occurring to me all",1,2 stars,0.47647542
970,the same.,0,1 star,0.37521204
971,Now with the rack and tortures and so on—you suffer terrible,0,1 star,0.37024012
972,pain of course; but then your torture is bodily pain only,1,2 stars,0.3404506
973,(although no,2,3 stars,0.33098307
974,doubt you have plenty of that),2,3 stars,0.2524174
975,until you die.,4,5 stars,0.3218119
976,But _here_ I should,2,3 stars,0.38880128
977,"imagine the most terrible part of the whole punishment is, not the",0,1 star,0.76215345
978,"bodily pain at all—but the certain knowledge that in an hour,—then in",0,1 star,0.40287244
979,"ten minutes, then in half a minute, then now—this very _instant_—your",4,5 stars,0.43585995
980,soul must quit your body and that you will no longer be a man—and that,0,1 star,0.4980286
981,"this is certain, _certain!",4,5 stars,0.31259906
982,_ That’s the point—the certainty of it.,3,4 stars,0.31560427
983,Just,2,3 stars,0.2606223
984,that instant when you place your head on the block and hear the iron,0,1 star,0.27230453
985,grate over your head—then—that quarter of a second is the most awful of,0,1 star,0.77377945
986,all.,4,5 stars,0.32466996
987,“This is not my own fantastical opinion—many people have thought the,2,3 stars,0.32904455
988,same; but I feel it so deeply that I’ll tell you what I think.,2,3 stars,0.33853766
989,I,4,5 stars,0.24874815
990,believe that to execute a man for murder is to punish him immeasurably,4,5 stars,0.32978055
991,more dreadfully than is equivalent to his crime.,0,1 star,0.40038922
992,A murder by sentence,0,1 star,0.46715915
993,is far more dreadful than a murder committed by a criminal.,0,1 star,0.56492543
994,The man who,4,5 stars,0.5623744
995,"is attacked by robbers at night, in a dark wood, or anywhere,",2,3 stars,0.23810655
996,undoubtedly hopes and hopes that he may yet escape until the very,1,2 stars,0.2526789
997,moment of his death.,4,5 stars,0.3791784
998,There are plenty of instances of a man running,2,3 stars,0.3162664
999,"away, or imploring for mercy—at all events hoping on in some",2,3 stars,0.23546177
1000,degree—even after his throat was cut.,0,1 star,0.36012492
1001,"But in the case of an execution,",2,3 stars,0.46370605
1002,that last hope—having which it is so immeasurably less dreadful to,1,2 stars,0.37038577
1003,"die,—is taken away from the wretch and _certainty_ substituted in its",0,1 star,0.691749
1004,place!,4,5 stars,0.52803767
1005,"There is his sentence, and with it that terrible certainty that",0,1 star,0.48687062
1006,"he cannot possibly escape death—which, I consider, must be the most",3,4 stars,0.21462047
1007,dreadful anguish in the world.,0,1 star,0.71775234
1008,You may place a soldier before a,2,3 stars,0.25056133
1009,"cannon’s mouth in battle, and fire upon him—and he will still hope.",4,5 stars,0.62401515
1010,But,2,3 stars,0.39810285
1011,"read to that same soldier his death-sentence, and he will either go mad",0,1 star,0.75042737
1012,or burst into tears.,0,1 star,0.39657596
1013,Who dares to say that any man can suffer this,0,1 star,0.39134738
1014,without going mad?,0,1 star,0.29964092
1015,"No, no! it is an abuse, a shame, it is",0,1 star,0.8684225
1016,unnecessary—why should such a thing exist?,0,1 star,0.6639632
1017,Doubtless there may be men,0,1 star,0.5904379
1018,"who have been sentenced, who have suffered this mental anguish for a",0,1 star,0.64248323
1019,while and then have been reprieved; perhaps such men may have been able,1,2 stars,0.38623527
1020,to relate their feelings afterwards.,3,4 stars,0.46713418
1021,Our Lord Christ spoke of this,4,5 stars,0.66403216
1022,anguish and dread.,0,1 star,0.32503235
1023,No! no! no!,0,1 star,0.82397765
1024,"No man should be treated so, no man, no",0,1 star,0.55295426
1025,man!,4,5 stars,0.5307019
1026,”,4,5 stars,0.30857787
1027,"The servant, though of course he could not have expressed all this as",2,3 stars,0.45125577
1028,"the prince did, still clearly entered into it and was greatly",3,4 stars,0.38280764
1029,"conciliated, as was evident from the increased amiability of his",3,4 stars,0.43286073
1030,expression.,3,4 stars,0.30807206
1031,"“If you are really very anxious for a smoke,” he remarked,",2,3 stars,0.27986246
1032,"“I think it might possibly be managed, if you are very quick about it.",2,3 stars,0.46534196
1033,"You see they might come out and inquire for you, and you wouldn’t be on",2,3 stars,0.34930804
1034,the spot.,4,5 stars,0.32163748
1035,You see that door there?,0,1 star,0.29199
1036,Go in there and you’ll find a little,3,4 stars,0.4185267
1037,"room on the right; you can smoke there, only open the window, because I",2,3 stars,0.27476564
1038,"ought not to allow it really, and—.",0,1 star,0.38468513
1039,"” But there was no time, after all.",0,1 star,0.31311896
1040,"A young fellow entered the ante-room at this moment, with a bundle of",3,4 stars,0.29621673
1041,papers in his hand.,4,5 stars,0.44155592
1042,The footman hastened to help him take off his,1,2 stars,0.33890042
1043,overcoat.,1,2 stars,0.3775308
1044,The new arrival glanced at the prince out of the corners of,0,1 star,0.29899034
1045,his eyes.,3,4 stars,0.2531163
1046,"“This gentleman declares, Gavrila Ardalionovitch,” began the man,",4,5 stars,0.54871833
1047,"confidentially and almost familiarly, “that he is Prince Muishkin and a",4,5 stars,0.56292534
1048,relative of Madame Epanchin’s.,3,4 stars,0.31428736
1049,"He has just arrived from abroad, with",2,3 stars,0.24564643
1050,nothing but a bundle by way of luggage—.,0,1 star,0.26345497
1051,”,4,5 stars,0.30857787
1052,"The prince did not hear the rest, because at this point the servant",0,1 star,0.310299
1053,continued his communication in a whisper.,4,5 stars,0.5058903
1054,"Gavrila Ardalionovitch listened attentively, and gazed at the prince",4,5 stars,0.40023157
1055,with great curiosity.,4,5 stars,0.58201057
1056,At last he motioned the man aside and stepped,0,1 star,0.442842
1057,hurriedly towards the prince.,3,4 stars,0.2819548
1058,"“Are you Prince Muishkin?” he asked, with the greatest courtesy and",4,5 stars,0.64161646
1059,amiability.,1,2 stars,0.308881
1060,"He was a remarkably handsome young fellow of some twenty-eight summers,",3,4 stars,0.4859748
1061,"fair and of middle height; he wore a small beard, and his face was most",3,4 stars,0.48127818
1062,intelligent.,4,5 stars,0.6494175
1063,"Yet his smile, in spite of its sweetness, was a little",2,3 stars,0.501831
1064,"thin, if I may so call it, and showed his teeth too evenly; his gaze",1,2 stars,0.5318279
1065,"though decidedly good-humoured and ingenuous, was a trifle too",2,3 stars,0.5091977
1066,inquisitive and intent to be altogether agreeable.,4,5 stars,0.47408718
1067,"“Probably when he is alone he looks quite different, and hardly smiles",1,2 stars,0.43426627
1068,at all!,0,1 star,0.78367615
1069,” thought the prince.,2,3 stars,0.22787689
1070,"He explained about himself in a few words, very much the same as he had",3,4 stars,0.27277896
1071,told the footman and Rogojin beforehand.,4,5 stars,0.289921
1072,Gavrila Ardalionovitch meanwhile seemed to be trying to recall,2,3 stars,0.38360906
1073,something.,1,2 stars,0.28446445
1074,"“Was it not you, then, who sent a letter a year or less ago—from",0,1 star,0.57904893
1075,"Switzerland, I think it was—to Elizabetha Prokofievna",2,3 stars,0.28467703
1076,(Mrs. Epanchin)?,1,2 stars,0.29266423
1077,”,4,5 stars,0.30857787
1078,“It was.”,4,5 stars,0.27043033
1079,"“Oh, then, of course they will remember who you are.",2,3 stars,0.3069829
1080,You wish to see,3,4 stars,0.29365048
1081,the general?,2,3 stars,0.2815509
1082,I’ll tell him at once—he will be free in a minute; but,2,3 stars,0.37731573
1083,"you—you had better wait in the ante-chamber,—hadn’t you?",2,3 stars,0.27247503
1084,Why is he,0,1 star,0.30897892
1085,here?,0,1 star,0.35836276
1086,"” he added, severely, to the man.",0,1 star,0.33080128
1087,"“I tell you, sir, he wished it himself!”",4,5 stars,0.3977081
1088,"At this moment the study door opened, and a military man, with a",0,1 star,0.4408675
1089,"portfolio under his arm, came out talking loudly, and after bidding",0,1 star,0.49662358
1090,"good-bye to someone inside, took his departure.",4,5 stars,0.3903974
1091,"“You there, Gania?” cried a voice from the study, “come in here, will",0,1 star,0.3986512
1092,you?,0,1 star,0.36948827
1093,”,4,5 stars,0.30857787
1094,Gavrila Ardalionovitch nodded to the prince and entered the room,0,1 star,0.2819476
1095,hastily.,0,1 star,0.26557788
1096,A couple of minutes later the door opened again and the affable voice,0,1 star,0.6254176
1097,of Gania cried:,0,1 star,0.25084653
1098,"“Come in please, prince!”",4,5 stars,0.6601672
1099,III.,2,3 stars,0.27895024
1100,General Ivan Fedorovitch Epanchin was standing in the middle of the,2,3 stars,0.2603309
1101,"room, and gazed with great curiosity at the prince as he entered.",4,5 stars,0.54933673
1102,He,3,4 stars,0.2655623
1103,even advanced a couple of steps to meet him.,4,5 stars,0.3860366
1104,The prince came forward and introduced himself.,4,5 stars,0.50350654
1105,"“Quite so,” replied the general, “and what can I do for you?”",2,3 stars,0.36131713
1106,"“Oh, I have no special business; my principal object was to make your",2,3 stars,0.35215387
1107,acquaintance.,3,4 stars,0.36515966
1108,I should not like to disturb you.,1,2 stars,0.39465675
1109,I do not know your,0,1 star,0.3154352
1110,"times and arrangements here, you see, but I have only just arrived.",2,3 stars,0.50515074
1111,I,4,5 stars,0.24874815
1112,came straight from the station.,0,1 star,0.5982864
1113,I am come direct from Switzerland.,4,5 stars,0.26071844
1114,”,4,5 stars,0.30857787
1115,"The general very nearly smiled, but thought better of it and kept his",2,3 stars,0.4982219
1116,smile back.,4,5 stars,0.4193809
1117,"Then he reflected, blinked his eyes, stared at his guest",0,1 star,0.36885622
1118,"once more from head to foot; then abruptly motioned him to a chair, sat",0,1 star,0.5209852
1119,"down himself, and waited with some impatience for the prince to speak.",1,2 stars,0.38715485
1120,"Gania stood at his table in the far corner of the room, turning over",1,2 stars,0.27103356
1121,papers.,4,5 stars,0.3265718
1122,"“I have not much time for making acquaintances, as a rule,” said the",2,3 stars,0.35217106
1123,"general, “but as, of course, you have your object in coming, I—”",2,3 stars,0.48026517
1124,“I felt sure you would think I had some object in view when I resolved,2,3 stars,0.38450384
1125,"to pay you this visit,” the prince interrupted; “but I give you my",0,1 star,0.36903146
1126,"word, beyond the pleasure of making your acquaintance I had no personal",0,1 star,0.4007833
1127,object whatever.,0,1 star,0.49208134
1128,”,4,5 stars,0.30857787
1129,"“The pleasure is, of course, mutual; but life is not all pleasure, as",2,3 stars,0.35991544
1130,you are aware.,4,5 stars,0.36886528
1131,"There is such a thing as business, and I really do not",0,1 star,0.5797094
1132,"see what possible reason there can be, or what we have in common to—”",3,4 stars,0.41230077
1133,"“Oh, there is no reason, of course, and I suppose there is nothing in",1,2 stars,0.32970318
1134,"common between us, or very little; for if I am Prince Muishkin, and",2,3 stars,0.54190236
1135,"your wife happens to be a member of my house, that can hardly be called",2,3 stars,0.25606212
1136,a ‘reason.’ I quite understand that.,3,4 stars,0.37146947
1137,And yet that was my whole motive,2,3 stars,0.28994352
1138,for coming.,3,4 stars,0.35903767
1139,"You see I have not been in Russia for four years, and knew",0,1 star,0.2761314
1140,very little about anything when I left.,1,2 stars,0.43248442
1141,I had been very ill for a long,1,2 stars,0.44563723
1142,"time, and I feel now the need of a few good friends.",3,4 stars,0.34298477
1143,"In fact, I have a",2,3 stars,0.29042083
1144,"certain question upon which I much need advice, and do not know whom to",2,3 stars,0.34257644
1145,go to for it.,3,4 stars,0.3431412
1146,I thought of your family when I was passing through,4,5 stars,0.23478866
1147,Berlin.,4,5 stars,0.29855275
1148,"‘They are almost relations,’ I said to myself, ‘so I’ll begin",2,3 stars,0.34522173
1149,"with them; perhaps we may get on with each other, I with them and they",2,3 stars,0.33875966
1150,"with me, if they are kind people;’ and I have heard that you are very",2,3 stars,0.36185855
1151,kind people!,3,4 stars,0.3048531
1152,”,4,5 stars,0.30857787
1153,"“Oh, thank you, thank you, I’m sure,” replied the general, considerably",3,4 stars,0.27208152
1154,taken aback.,1,2 stars,0.35909015
1155,“May I ask where you have taken up your quarters?”,2,3 stars,0.2983064
1156,"“Nowhere, as yet.”",0,1 star,0.40986592
1157,"“What, straight from the station to my house?",0,1 star,0.27369735
1158,And how about your,4,5 stars,0.5873105
1159,luggage?,2,3 stars,0.3246701
1160,”,4,5 stars,0.30857787
1161,"“I only had a small bundle, containing linen, with me, nothing more.",1,2 stars,0.32275522
1162,I,4,5 stars,0.24874815
1163,"can carry it in my hand, easily.",4,5 stars,0.5162484
1164,There will be plenty of time to take a,3,4 stars,0.3216621
1165,room in some hotel by the evening.,2,3 stars,0.44150358
1166,”,4,5 stars,0.30857787
1167,"“Oh, then you _do_ intend to take a room?”",2,3 stars,0.28929234
1168,“Of course.”,3,4 stars,0.35572574
1169,"“To judge from your words, you came straight to my house with the",4,5 stars,0.40868932
1170,intention of staying there.,0,1 star,0.33541396
1171,”,4,5 stars,0.30857787
1172,“That could only have been on your invitation.,2,3 stars,0.25575882
1173,"I confess, however, that",2,3 stars,0.38454688
1174,"I should not have stayed here even if you had invited me, not for any",0,1 star,0.508274
1175,"particular reason, but because it is—well, contrary to my practice and",2,3 stars,0.48163104
1176,"nature, somehow.",2,3 stars,0.32192957
1177,”,4,5 stars,0.30857787
1178,"“Oh, indeed!",4,5 stars,0.34766302
1179,Then it is perhaps as well that I neither _did_ invite,2,3 stars,0.33521196
1180,"you, nor _do_ invite you now.",0,1 star,0.32297838
1181,"Excuse me, prince, but we had better make",2,3 stars,0.46763423
1182,"this matter clear, once for all.",4,5 stars,0.6835235
1183,We have just agreed that with regard,2,3 stars,0.3224631
1184,"to our relationship there is not much to be said, though, of course, it",2,3 stars,0.46449336
1185,would have been very delightful to us to feel that such relationship,2,3 stars,0.3755002
1186,"did actually exist; therefore, perhaps—”",2,3 stars,0.3486638
1187,"“Therefore, perhaps I had better get up and go away?” said the prince,",2,3 stars,0.29549414
1188,laughing merrily as he rose from his place; just as merrily as though,0,1 star,0.4153231
1189,the circumstances were by no means strained or difficult.,1,2 stars,0.40953422
1190,“And I give,4,5 stars,0.5209373
1191,"you my word, general, that though I know nothing whatever of manners",2,3 stars,0.27793217
1192,"and customs of society, and how people live and all that, yet I felt",3,4 stars,0.4258951
1193,quite sure that this visit of mine would end exactly as it has ended,3,4 stars,0.37366694
1194,now.,4,5 stars,0.36678284
1195,"Oh, well, I suppose it’s all right; especially as my letter was",2,3 stars,0.34067994
1196,not answered.,0,1 star,0.6658799
1197,"Well, good-bye, and forgive me for having disturbed you!",4,5 stars,0.76633877
1198,”,4,5 stars,0.30857787
1199,"The prince’s expression was so good-natured at this moment, and so",4,5 stars,0.5782701
1200,entirely free from even a suspicion of unpleasant feeling was the smile,0,1 star,0.33682978
1201,"with which he looked at the general as he spoke, that the latter",3,4 stars,0.2762869
1202,"suddenly paused, and appeared to gaze at his guest from quite a new",1,2 stars,0.38025907
1203,"point of view, all in an instant.",4,5 stars,0.48634356
1204,"“Do you know, prince,” he said, in quite a different tone, “I do not",0,1 star,0.3914177
1205,"know you at all, yet, and after all, Elizabetha Prokofievna would very",2,3 stars,0.25613937
1206,likely be pleased to have a peep at a man of her own name.,2,3 stars,0.37383807
1207,Wait a,0,1 star,0.30450058
1208,"little, if you don’t mind, and if you have time to spare?",2,3 stars,0.4121447
1209,”,4,5 stars,0.30857787
1210,"“Oh, I assure you I’ve lots of time, my time is entirely my own!”",4,5 stars,0.5216768
1211,And,4,5 stars,0.33521467
1212,"the prince immediately replaced his soft, round hat on the table.",4,5 stars,0.64603025
1213,“I,4,5 stars,0.27249175
1214,"confess, I thought Elizabetha Prokofievna would very likely remember",0,1 star,0.27148306
1215,that I had written her a letter.,0,1 star,0.40511197
1216,Just now your servant—outside,4,5 stars,0.3360221
1217,there—was dreadfully suspicious that I had come to beg of you.,0,1 star,0.5316039
1218,I,4,5 stars,0.24874815
1219,noticed that!,2,3 stars,0.32256305
1220,Probably he has very strict instructions on that score;,2,3 stars,0.42542025
1221,but I assure you I did not come to beg.,2,3 stars,0.30866402
1222,I came to make some friends.,3,4 stars,0.2919401
1223,But I am rather bothered at having disturbed you; that’s all I care,2,3 stars,0.53983766
1224,about.,3,4 stars,0.28890666
1225,—”,4,5 stars,0.34280777
1226,"“Look here, prince,” said the general, with a cordial smile, “if you",4,5 stars,0.3716443
1227,"really are the sort of man you appear to be, it may be a source of",3,4 stars,0.29481825
1228,"great pleasure to us to make your better acquaintance; but, you see, I",4,5 stars,0.49566776
1229,"am a very busy man, and have to be perpetually sitting here and signing",4,5 stars,0.6011834
1230,"papers, or off to see his excellency, or to my department, or",4,5 stars,0.25658265
1231,"somewhere; so that though I should be glad to see more of people, nice",2,3 stars,0.5268161
1232,"people—you see, I—however, I am sure you are so well brought up that",3,4 stars,0.42641205
1233,"you will see at once, and—but how old are you, prince?",2,3 stars,0.34801748
1234,”,4,5 stars,0.30857787
1235,“Twenty-six.”,4,5 stars,0.5923564
1236,“No? I thought you very much younger.”,1,2 stars,0.34352723
1237,"“Yes, they say I have a ‘young’ face.",2,3 stars,0.30612338
1238,As to disturbing you I shall soon,3,4 stars,0.2904084
